id,job_title,work_type,workplace,company_name,company_page,experience_level,yrs_of_exp,address,city,country
839,HR Operations Supervisor,Full Time,On-site,SAVOLA,https://wuzzuf.net/jobs/careers/-2383,Experienced,2 - 3 Yrs of Exp,New Cairo,Cairo,Egypt
840,HR Organization Development Supervisor,Full Time,On-site,Premium Card,https://wuzzuf.net/jobs/careers/Premium-Card-Egypt-766,Manager,4 - 7 Yrs of Exp,Dokki,Giza,Egypt
841,HR Payroll Assistant,Full Time,On-site,Intouch CX,https://wuzzuf.net/jobs/careers/Intouch-CX-Egypt-95363,Entry Level,1 - 2 Yrs of Exp,Sheikh Zayed,Giza,Egypt
842,HR Performance Specialist,Full Time,On-site,Soficopharm,https://wuzzuf.net/jobs/careers/Soficopharm-Egypt-27731,Experienced,2 - 4 Yrs of Exp,UnKnown,Cairo,Egypt
843,HR Section Head,Full Time,On-site,Original International For trailers,https://wuzzuf.net/jobs/careers/-97939,Manager,8 - 14 Yrs of Exp,Obour City,Cairo,Egypt
844,HR Senior Executive,Full Time,On-site,RAYA Auto,https://wuzzuf.net/jobs/careers/RAYA-Auto-Egypt-67134,Experienced,0 - 2 Yrs of Exp,6th of October,Giza,Egypt
845,HR Specialist,Full Time,On-site,Cleopatra Hospitals Group,https://wuzzuf.net/jobs/careers/Cleopatra-Hospital-Group-Egypt-28152,Experienced,2 - 3 Yrs of Exp,Heliopolis,Cairo,Egypt
846,HR Specialist,Full Time,On-site,Uniboard,https://wuzzuf.net/jobs/careers/Uniboard-Egypt-25963,Entry Level,1 - 3 Yrs of Exp,Obour City,Cairo,Egypt
847,HR Specialist,Full Time,On-site,Confidential,UnKnown,Entry Level,0 - 1 Yrs of Exp,Nasr City,Cairo,Egypt
848,HR Specialist,Full Time,On-site,Spinneys Egypt,https://wuzzuf.net/jobs/careers/Spinneys-Egypt-Egypt-721,Experienced,1 - 3 Yrs of Exp,Ain Sokhna,Suez,Egypt
849,HR Specialist,Full Time,On-site,Alkan CIT,https://wuzzuf.net/jobs/careers/Alkan-CIT-Egypt-3148,Experienced,3 - 5 Yrs of Exp,UnKnown,Muscat,Oman
850,HR Specialist,Full Time,On-site,Elgabaly Architects,https://wuzzuf.net/jobs/careers/Elgabaly-Architects-Egypt-12060,Experienced,5 - 7 Yrs of Exp,New Cairo,Cairo,Egypt
851,HR Specialist,Full Time,On-site,SODIC Clubs,https://wuzzuf.net/jobs/careers/SODIC Clubs-Egypt-120939,Entry Level,1 - 3 Yrs of Exp,6th of October,Giza,Egypt
852,HR Specialist (HCM Implementation Specialist),Full Time,On-site,Ultimate Solutions Egypt,https://wuzzuf.net/jobs/careers/Ultimate-Solutions-Egypt-Egypt-20844,Experienced,3 - 6 Yrs of Exp,Sheikh Zayed,Giza,Egypt
853,HR Specialist - Menofya,Full Time,On-site,Uniboard,https://wuzzuf.net/jobs/careers/Uniboard-Egypt-25963,Entry Level,1 - 3 Yrs of Exp,Alsadat City,Monufya,Egypt
854,HR Specialist / Senior Specialist,Full Time,On-site,Minapharm Pharmaceuticals,https://wuzzuf.net/jobs/careers/Minapharm-Pharmaceuticals-Egypt-20620,Entry Level,0 - 6 Yrs of Exp,10th of Ramadan City,Sharqia,Egypt
855,HR Supervisor,Full Time,On-site,El Nahar for Medical Solutions,https://wuzzuf.net/jobs/careers/El-Nahar-for-Medical-Solutions-Egypt-29738,Manager,5+ Yrs of Exp,Nasr City,Cairo,Egypt
856,HR Trainee,Internship,On-site,Smart Technology Solutions,https://wuzzuf.net/jobs/careers/Smart-Technology-Solutions-Egypt-101834,Entry Level,UnKnown,Sheraton,Cairo,Egypt
857,HR and Engagement specialist,Full Time,Remote,Algoriza,https://wuzzuf.net/jobs/careers/Algoriza-Egypt-58919,Experienced,2 - 4 Yrs of Exp,UnKnown,Giza,Egypt
858,HR and Recruitment Administrator,Full Time,UnKnown,WHY Training,https://wuzzuf.net/jobs/careers/why-training-united-arab-emirates-128098,Entry Level,UnKnown,UnKnown,Dubai,United Arab Emirates
859,HRBP,Full Time,On-site,K Line Europe,https://wuzzuf.net/jobs/careers/-92966,Experienced,3 - 5 Yrs of Exp,Nasr City,Cairo,Egypt
860,HRIS and HR Operations Specialist,Full Time,On-site,ENAYA CARE INTERNATIONAL COMPANY FOR BEAUTY & COMFORT,https://wuzzuf.net/jobs/careers/ENAYA CARE INTERNATIONAL COMPANY FOR BEAUTY AND COMFORT-Saudi Arabia-112243,Experienced,3 - 5 Yrs of Exp,Mohandessin,Giza,Egypt
861,HSE Engineer,Full Time,On-site,NILEWOOD,https://wuzzuf.net/jobs/careers/NILEWOOD--Egypt-85718,Experienced,4 - 6 Yrs of Exp,Alsadat City,Monufya,Egypt
862,HSE Manager,Full Time,On-site,Cegy plastics,https://wuzzuf.net/jobs/careers/Cegy plastics-Egypt-110666,Manager,6+ Yrs of Exp,10th of Ramadan City,Cairo,Egypt
863,HSE Manager,Full Time,On-site,Haier Electric Egypt,https://wuzzuf.net/jobs/careers/Haier Electric Egypt-Egypt-97987,Manager,10 - 12 Yrs of Exp,UnKnown,Sharqia,Egypt
864,HSE Officer,Full Time,On-site,Intertrade Co.,https://wuzzuf.net/jobs/careers/Intertrade Co.-United States-89695,Entry Level,0 - 2 Yrs of Exp,10th of Ramadan City,Sharqia,Egypt
865,HSE Officer,Full Time,On-site,LEEDS FIT-OUT,https://wuzzuf.net/jobs/careers/-95444,Experienced,2 - 3 Yrs of Exp,6th of October,Giza,Egypt
866,HSE Section Head,Full Time,On-site,Exception Patisserie,https://wuzzuf.net/jobs/careers/Exception-patissiere-Egypt-49514,Experienced,10+ Yrs of Exp,6th of October,Giza,Egypt
867,HSE Specialist,Full Time,On-site,AluNile,https://wuzzuf.net/jobs/careers/AluNile-Egypt-25893,Entry Level,1 - 3 Yrs of Exp,6th of October,Giza,Egypt
868,HSE Supervisor,Full Time,On-site,Ovo Egypt,https://wuzzuf.net/jobs/careers/kareem-shazly-ovoegypt-com-Egypt-50315,Experienced,4 - 5 Yrs of Exp,6th of October,Giza,Egypt
869,HSE Supervisor,Full Time,On-site,Egypt Gold,https://wuzzuf.net/jobs/careers/IRAM-JEWELRY-Egypt-39723,Manager,8+ Yrs of Exp,Obour City,Cairo,Egypt
870,HVAC Engineer,Full Time,On-site,Selah ElTelmeez For Publishing & printing,https://wuzzuf.net/jobs/careers/Selah-ElTelmeez-For-Publishing---printing-Egypt-31447,Experienced,4+ Yrs of Exp,Obour City,Cairo,Egypt
871,Handover Engineer,Full Time,On-site,Dorra Group,https://wuzzuf.net/jobs/careers/Dorra-Group-Egypt-20151,Entry Level,0 - 2 Yrs of Exp,Sheikh Zayed,Giza,Egypt
872,Hardware Engineer,Full Time,On-site,Biobusiness,https://wuzzuf.net/jobs/careers/Biobusiness-Egypt-13504,Experienced,2 - 5 Yrs of Exp,Hadayek Alahram,Giza,Egypt
873,Head OF Accounting,Full Time,On-site,Crevisoft Corporation,https://wuzzuf.net/jobs/careers/-40283,Senior Management,7 - 12 Yrs of Exp,Maadi,Cairo,Egypt
874,Head OF Accounting,Full Time,On-site,Confidential,UnKnown,Manager,10 - 12 Yrs of Exp,New Nozha,Cairo,Egypt
875,Head OF Accounting,Full Time,On-site,Grouhy,https://wuzzuf.net/jobs/careers/electronic-house-Egypt-24937,Experienced,5+ Yrs of Exp,Downtown,Cairo,Egypt
